% Time history data
% Time schemes: 
%   0 = Steady
%   1 = FE
%   2 = AB2
%   3 = AB3
%   4 = BDF1
%   5 = BDF2
%   6 = BDF3
%   7 = BDF4
%   8 = AM2
%   9 = AM3
%   10 = RK2
%   11 = RK3
%   12 = RK4
%   13 = RK5
%   14 = RK6
%   15 = ESDIRK3
%   16 = ESDIRK4
%   17 = ESDIRK5
%   18 = DIRK3
%   19 = DIRK4
%   20 = EBDF1
%   21 = EBDF2
%   22 = EBDF3
%   23 = EBDF4
%   24 = MEBDF1
%   25 = MEBDF2
%   26 = MEBDF3
%   27 = MEBDF4
%   28 = SAMF1
%   29 = SAMF2
%   30 = SAMF3
%   31 = SAMF4
%   32 = DG1
%   33 = DG2
%            iTime             Time         TimeStep       TimeScheme                     Drag                     Lift
                 0   0.00000000E+00   1.00000000E-01                4   1.3001657769272219E+00   2.1920470264643884E-02
                 1   1.00000000E-01   1.00000000E-01                5   1.8277771999587059E-01   3.6552661670050002E-01
                 2   2.00000000E-01   1.00000000E-01                5   1.1113365244248685E-01   3.4702095788821313E-01
                 3   3.00000000E-01   1.00000000E-01                5   9.9138528392063371E-02   3.2569547629809376E-01
                 4   4.00000000E-01   1.00000000E-01                5   9.0157186902662875E-02   3.1010290652685341E-01
                 5   5.00000000E-01   1.00000000E-01                5   8.3687252910774140E-02   3.0096217088982252E-01
                 6   6.00000000E-01   1.00000000E-01                5   7.9463430326072254E-02   2.9822031508243796E-01
                 7   7.00000000E-01   1.00000000E-01                5   7.6756183741908318E-02   3.0061761121337438E-01
                 8   8.00000000E-01   1.00000000E-01                5   7.4812176528668867E-02   3.0602158723693196E-01
                 9   9.00000000E-01   1.00000000E-01                5   7.3129769194625133E-02   3.1244552425017802E-01
                10   1.00000000E+00   1.00000000E-01                5   7.1531529932927967E-02   3.1877781922635134E-01
                11   1.10000000E+00   1.00000000E-01                5   7.0041340254346940E-02   3.2476539056045101E-01
                12   1.20000000E+00   1.00000000E-01                5   6.8721905075982706E-02   3.3056125994390456E-01
                13   1.30000000E+00   1.00000000E-01                5   6.7597154583546981E-02   3.3633537569338817E-01
                14   1.40000000E+00   1.00000000E-01                5   6.6657103276001731E-02   3.4214440706559807E-01
                15   1.50000000E+00   1.00000000E-01                5   6.5887462895449375E-02   3.4797014491121553E-01
                16   1.60000000E+00   1.00000000E-01                5   6.5284475545904622E-02   3.5379268217083737E-01
                17   1.70000000E+00   1.00000000E-01                5   6.4856849881996192E-02   3.5962902041678962E-01
                18   1.80000000E+00   1.00000000E-01                5   6.4626199294878423E-02   3.6552750620878460E-01
